round55 result: own hp -754 vs opp hp -304, you lose, hp_diff: -450, avg_loss: 1.0555, Total reward: -44.930000000000014
round56 result: own hp -586 vs opp hp -362, you lose, hp_diff: -224, avg_loss: 1.0146, Total reward: -22.309999999999995
round57 result: own hp -715 vs opp hp -430, you lose, hp_diff: -285, avg_loss: 1.1259, Total reward: -27.529999999999994
round58 result: own hp -590 vs opp hp -245, you lose, hp_diff: -345, avg_loss: 0.9465, Total reward: -32.83000000000002
round59 result: own hp -542 vs opp hp -118, you lose, hp_diff: -424, avg_loss: 1.1214, Total reward: -41.31000000000001
round60 result: own hp -781 vs opp hp -275, you lose, hp_diff: -506, avg_loss: 0.9407, Total reward: -48.600000000000016
round61 result: own hp -701 vs opp hp -412, you lose, hp_diff: -289, avg_loss: 0.9272, Total reward: -27.400000000000006
round62 result: own hp -493 vs opp hp -255, you lose, hp_diff: -238, avg_loss: 0.9878, Total reward: -21.659999999999993
round63 result: own hp -688 vs opp hp -202, you lose, hp_diff: -486, avg_loss: 0.9057, Total reward: -48.97000000000001
round64 result: own hp -809 vs opp hp -310, you lose, hp_diff: -499, avg_loss: 0.9140, Total reward: -50.15999999999999
round65 result: own hp -598 vs opp hp -417, you lose, hp_diff: -181, avg_loss: 1.0821, Total reward: -15.560000000000004
round66 result: own hp -580 vs opp hp -142, you lose, hp_diff: -438, avg_loss: 0.9832, Total reward: -43.58999999999998
round67 result: own hp -590 vs opp hp -305, you lose, hp_diff: -285, avg_loss: 0.8715, Total reward: -27.459999999999997
round68 result: own hp -586 vs opp hp -300, you lose, hp_diff: -286, avg_loss: 0.9334, Total reward: -30.89999999999997
round69 result: own hp -551 vs opp hp -286, you lose, hp_diff: -265, avg_loss: 1.0376, Total reward: -26.66000000000001
round70 result: own hp -557 vs opp hp -248, you lose, hp_diff: -309, avg_loss: 0.9789, Total reward: -30.810000000000013
round71 result: own hp -549 vs opp hp -360, you lose, hp_diff: -189, avg_loss: 0.9422, Total reward: -18.799999999999983
round72 result: own hp -576 vs opp hp -206, you lose, hp_diff: -370, avg_loss: 0.8962, Total reward: -36.94999999999999
round73 result: own hp -372 vs opp hp -227, you lose, hp_diff: -145, avg_loss: 0.8262, Total reward: -14.57
round74 result: own hp -777 vs opp hp -352, you lose, hp_diff: -425, avg_loss: 0.7964, Total reward: -40.57000000000003
round75 result: own hp -622 vs opp hp -275, you lose, hp_diff: -347, avg_loss: 0.9132, Total reward: -33.879999999999995
round76 result: own hp -553 vs opp hp -348, you lose, hp_diff: -205, avg_loss: 0.9649, Total reward: -18.43000000000001
round77 result: own hp -653 vs opp hp -252, you lose, hp_diff: -401, avg_loss: 0.8722, Total reward: -37.68000000000005
round78 result: own hp -457 vs opp hp -521, you win, hp_diff: 64, avg_loss: 0.9444, Total reward: 3.859999999999995
round79 result: own hp -685 vs opp hp -197, you lose, hp_diff: -488, avg_loss: 1.0425, Total reward: -48.85999999999999
round80 result: own hp -567 vs opp hp -276, you lose, hp_diff: -291, avg_loss: 0.9468, Total reward: -29.040000000000006
round81 result: own hp -652 vs opp hp -347, you lose, hp_diff: -305, avg_loss: 0.8777, Total reward: -28.560000000000024
round82 result: own hp -505 vs opp hp -317, you lose, hp_diff: -188, avg_loss: 0.8863, Total reward: -17.909999999999993
round83 result: own hp -640 vs opp hp -411, you lose, hp_diff: -229, avg_loss: 0.9342, Total reward: -22.070000000000007
round84 result: own hp -443 vs opp hp -283, you lose, hp_diff: -160, avg_loss: 0.8096, Total reward: -16.309999999999967
round85 result: own hp -734 vs opp hp -283, you lose, hp_diff: -451, avg_loss: 0.8467, Total reward: -45.19999999999999
round86 result: own hp -688 vs opp hp -291, you lose, hp_diff: -397, avg_loss: 0.8063, Total reward: -39.81000000000002
round87 result: own hp -698 vs opp hp -275, you lose, hp_diff: -423, avg_loss: 1.0667, Total reward: -42.40999999999999
round88 result: own hp -602 vs opp hp -205, you lose, hp_diff: -397, avg_loss: 0.8962, Total reward: -38.65
round89 result: own hp -505 vs opp hp -299, you lose, hp_diff: -206, avg_loss: 0.8109, Total reward: -20.750000000000018
round90 result: own hp -502 vs opp hp -197, you lose, hp_diff: -305, avg_loss: 0.9193, Total reward: -30.67000000000001
round91 result: own hp -643 vs opp hp -343, you lose, hp_diff: -300, avg_loss: 0.8978, Total reward: -30.13
round92 result: own hp -580 vs opp hp -229, you lose, hp_diff: -351, avg_loss: 1.0039, Total reward: -35.12000000000001
round93 result: own hp -668 vs opp hp -328, you lose, hp_diff: -340, avg_loss: 0.9190, Total reward: -34.130000000000024
round94 result: own hp -510 vs opp hp -449, you lose, hp_diff: -61, avg_loss: 0.9049, Total reward: -4.009999999999998
round95 result: own hp -379 vs opp hp -350, you lose, hp_diff: -29, avg_loss: 0.9545, Total reward: -5.360000000000001
round96 result: own hp -622 vs opp hp -290, you lose, hp_diff: -332, avg_loss: 0.9538, Total reward: -34.59000000000005
round97 result: own hp -623 vs opp hp -335, you lose, hp_diff: -288, avg_loss: 0.8780, Total reward: -28.750000000000007
round98 result: own hp -421 vs opp hp -188, you lose, hp_diff: -233, avg_loss: 0.8910, Total reward: -23.27000000000003
round99 result: own hp -487 vs opp hp -225, you lose, hp_diff: -262, avg_loss: 0.8220, Total reward: -26.98000000000004
round100 result: own hp -594 vs opp hp -244, you lose, hp_diff: -350, avg_loss: 0.8497, Total reward: -33.66999999999999
round101 result: own hp -752 vs opp hp -424, you lose, hp_diff: -328, avg_loss: 0.9009, Total reward: -31.19999999999999
round102 result: own hp -487 vs opp hp -295, you lose, hp_diff: -192, avg_loss: 0.9944, Total reward: -19.05999999999999
round103 result: own hp -536 vs opp hp -265, you lose, hp_diff: -271, avg_loss: 0.8846, Total reward: -27.249999999999993
round104 result: own hp -434 vs opp hp -220, you lose, hp_diff: -214, avg_loss: 0.8801, Total reward: -21.549999999999994
round105 result: own hp -672 vs opp hp -267, you lose, hp_diff: -405, avg_loss: 0.8720, Total reward: -41.74999999999995
round106 result: own hp -459 vs opp hp -402, you lose, hp_diff: -57, avg_loss: 0.8653, Total reward: -5.539999999999998
round107 result: own hp -533 vs opp hp -307, you lose, hp_diff: -226, avg_loss: 0.8751, Total reward: -22.779999999999994
round108 result: own hp -678 vs opp hp -260, you lose, hp_diff: -418, avg_loss: 0.8793, Total reward: -42.110000000000014
round109 result: own hp -694 vs opp hp -240, you lose, hp_diff: -454, avg_loss: 0.9886, Total reward: -43.440000000000026
round110 result: own hp -884 vs opp hp -72, you lose, hp_diff: -812, avg_loss: 0.8575, Total reward: -80.16999999999999
round111 result: own hp -582 vs opp hp -429, you lose, hp_diff: -153, avg_loss: 1.0470, Total reward: -15.469999999999978
round112 result: own hp -670 vs opp hp -305, you lose, hp_diff: -365, avg_loss: 0.9358, Total reward: -35.10999999999999
round113 result: own hp -394 vs opp hp -349, you lose, hp_diff: -45, avg_loss: 1.0898, Total reward: -4.53
round114 result: own hp -498 vs opp hp -220, you lose, hp_diff: -278, avg_loss: 1.0794, Total reward: -27.71999999999999
round115 result: own hp -457 vs opp hp -278, you lose, hp_diff: -179, avg_loss: 1.0640, Total reward: -18.009999999999998
round116 result: own hp -680 vs opp hp -363, you lose, hp_diff: -317, avg_loss: 0.9265, Total reward: -32.42
round117 result: own hp -571 vs opp hp -270, you lose, hp_diff: -301, avg_loss: 0.9749, Total reward: -27.43000000000002
