round55 result: own hp -451 vs opp hp -260, you lose, hp_diff: -191, avg_loss: 0.3714, Total reward: -20.250000000000004
round56 result: own hp -396 vs opp hp -381, you lose, hp_diff: -15, avg_loss: 0.3106, Total reward: -4.4
round57 result: own hp -577 vs opp hp -283, you lose, hp_diff: -294, avg_loss: 0.6356, Total reward: -28.570000000000007
round58 result: own hp -659 vs opp hp -466, you lose, hp_diff: -193, avg_loss: 2.6198, Total reward: -18.489999999999995
round59 result: own hp -417 vs opp hp -360, you lose, hp_diff: -57, avg_loss: 0.4705, Total reward: -6.2299999999999995
round60 result: own hp -867 vs opp hp -425, you lose, hp_diff: -442, avg_loss: 2.1666, Total reward: -44.54
round61 result: own hp -889 vs opp hp -480, you lose, hp_diff: -409, avg_loss: 3.4431, Total reward: -42.559999999999974
round62 result: own hp -719 vs opp hp -435, you lose, hp_diff: -284, avg_loss: 2.2268, Total reward: -28.890000000000043
round63 result: own hp -595 vs opp hp -453, you lose, hp_diff: -142, avg_loss: 1.1744, Total reward: -13.46
round64 result: own hp -697 vs opp hp -332, you lose, hp_diff: -365, avg_loss: 1.7585, Total reward: -36.979999999999976
round65 result: own hp -680 vs opp hp -428, you lose, hp_diff: -252, avg_loss: 1.7333, Total reward: -25.74
round66 result: own hp -623 vs opp hp -478, you lose, hp_diff: -145, avg_loss: 1.1588, Total reward: -15.140000000000006
round67 result: own hp -422 vs opp hp -578, you win, hp_diff: 156, avg_loss: 0.7553, Total reward: 12.490000000000002
round68 result: own hp -585 vs opp hp -473, you lose, hp_diff: -112, avg_loss: 1.5594, Total reward: -11.57
round69 result: own hp -550 vs opp hp -345, you lose, hp_diff: -205, avg_loss: 0.7510, Total reward: -20.160000000000046
round70 result: own hp -600 vs opp hp -430, you lose, hp_diff: -170, avg_loss: 1.5926, Total reward: -17.449999999999992
round71 result: own hp -376 vs opp hp -445, you win, hp_diff: 69, avg_loss: 0.5613, Total reward: 4.239999999999998
round72 result: own hp -646 vs opp hp -511, you lose, hp_diff: -135, avg_loss: 1.7715, Total reward: -13.750000000000009
round73 result: own hp -457 vs opp hp -460, you win, hp_diff: 3, avg_loss: 1.0820, Total reward: 0.2199999999999982
round74 result: own hp -905 vs opp hp -350, you lose, hp_diff: -555, avg_loss: 2.3601, Total reward: -55.73000000000001
round75 result: own hp -852 vs opp hp -525, you lose, hp_diff: -327, avg_loss: 3.1573, Total reward: -31.890000000000025
round76 result: own hp -501 vs opp hp -513, you win, hp_diff: 12, avg_loss: 0.8015, Total reward: 0.40000000000000924
round77 result: own hp -413 vs opp hp -460, you win, hp_diff: 47, avg_loss: 0.5790, Total reward: 4.240000000000004
round78 result: own hp -421 vs opp hp -509, you win, hp_diff: 88, avg_loss: 0.9162, Total reward: 6.060000000000002
round79 result: own hp -463 vs opp hp -350, you lose, hp_diff: -113, avg_loss: 0.7405, Total reward: -13.93
round80 result: own hp -545 vs opp hp -328, you lose, hp_diff: -217, avg_loss: 0.9334, Total reward: -19.489999999999995
round81 result: own hp -694 vs opp hp -505, you lose, hp_diff: -189, avg_loss: 2.6641, Total reward: -19.310000000000013
round82 result: own hp -678 vs opp hp -350, you lose, hp_diff: -328, avg_loss: 1.8786, Total reward: -31.799999999999983
round83 result: own hp -483 vs opp hp -425, you lose, hp_diff: -58, avg_loss: 0.4602, Total reward: -7.18
round84 result: own hp -462 vs opp hp -228, you lose, hp_diff: -234, avg_loss: 0.8524, Total reward: -23.59999999999999
round85 result: own hp -627 vs opp hp -380, you lose, hp_diff: -247, avg_loss: 1.7806, Total reward: -27.05
round86 result: own hp -389 vs opp hp -390, you win, hp_diff: 1, avg_loss: 0.6613, Total reward: -0.08999999999999848
round87 result: own hp -622 vs opp hp -495, you lose, hp_diff: -127, avg_loss: 1.5531, Total reward: -13.309999999999995
round88 result: own hp -441 vs opp hp -495, you win, hp_diff: 54, avg_loss: 0.8323, Total reward: 2.5100000000000082
round89 result: own hp -610 vs opp hp -409, you lose, hp_diff: -201, avg_loss: 2.1913, Total reward: -20.340000000000003
round90 result: own hp -599 vs opp hp -400, you lose, hp_diff: -199, avg_loss: 1.7246, Total reward: -20.36000000000001
round91 result: own hp -543 vs opp hp -474, you lose, hp_diff: -69, avg_loss: 1.2907, Total reward: -7.900000000000002
round92 result: own hp -580 vs opp hp -653, you win, hp_diff: 73, avg_loss: 2.2418, Total reward: 7.019999999999985
round93 result: own hp -610 vs opp hp -554, you lose, hp_diff: -56, avg_loss: 2.0900, Total reward: -3.7800000000000082
round94 result: own hp -604 vs opp hp -536, you lose, hp_diff: -68, avg_loss: 2.4156, Total reward: -7.150000000000014
round95 result: own hp -431 vs opp hp -235, you lose, hp_diff: -196, avg_loss: 0.7165, Total reward: -19.369999999999976
round96 result: own hp -470 vs opp hp -365, you lose, hp_diff: -105, avg_loss: 0.8025, Total reward: -10.770000000000001
round97 result: own hp -508 vs opp hp -238, you lose, hp_diff: -270, avg_loss: 0.9366, Total reward: -27.28000000000001
round98 result: own hp -628 vs opp hp -410, you lose, hp_diff: -218, avg_loss: 2.0367, Total reward: -21.88000000000001
round99 result: own hp -726 vs opp hp -525, you lose, hp_diff: -201, avg_loss: 2.2007, Total reward: -23.119999999999997
round100 result: own hp -464 vs opp hp -618, you win, hp_diff: 154, avg_loss: 1.6389, Total reward: 14.980000000000002
round101 result: own hp -341 vs opp hp -700, you win, hp_diff: 359, avg_loss: 0.8297, Total reward: 35.22999999999996
round102 result: own hp -638 vs opp hp -453, you lose, hp_diff: -185, avg_loss: 2.0734, Total reward: -19.710000000000004
round103 result: own hp -436 vs opp hp -405, you lose, hp_diff: -31, avg_loss: 0.9244, Total reward: -3.349999999999997
round104 result: own hp -638 vs opp hp -530, you lose, hp_diff: -108, avg_loss: 2.0297, Total reward: -11.129999999999994
round105 result: own hp -526 vs opp hp -470, you lose, hp_diff: -56, avg_loss: 1.4918, Total reward: -3.7000000000000046
round106 result: own hp -474 vs opp hp -398, you lose, hp_diff: -76, avg_loss: 1.5076, Total reward: -7.7900000000000045
round107 result: own hp -639 vs opp hp -230, you lose, hp_diff: -409, avg_loss: 1.5807, Total reward: -39.97000000000001
round108 result: own hp -471 vs opp hp -598, you win, hp_diff: 127, avg_loss: 1.5656, Total reward: 12.34999999999998
round109 result: own hp -716 vs opp hp -576, you lose, hp_diff: -140, avg_loss: 3.3736, Total reward: -14.360000000000031
round110 result: own hp -428 vs opp hp -425, you lose, hp_diff: -3, avg_loss: 1.1112, Total reward: -3.1299999999999955
round111 result: own hp -533 vs opp hp -383, you lose, hp_diff: -150, avg_loss: 0.9355, Total reward: -13.19000000000002
round112 result: own hp -819 vs opp hp -563, you lose, hp_diff: -256, avg_loss: 3.5557, Total reward: -26.77
round113 result: own hp -549 vs opp hp -430, you lose, hp_diff: -119, avg_loss: 1.2775, Total reward: -11.880000000000015
round114 result: own hp -473 vs opp hp -303, you lose, hp_diff: -170, avg_loss: 1.2314, Total reward: -19.040000000000006
round115 result: own hp -590 vs opp hp -304, you lose, hp_diff: -286, avg_loss: 1.7880, Total reward: -28.31
round116 result: own hp -805 vs opp hp -363, you lose, hp_diff: -442, avg_loss: 1.9527, Total reward: -47.16
round117 result: own hp -702 vs opp hp -324, you lose, hp_diff: -378, avg_loss: 2.7343, Total reward: -36.21000000000002
round118 result: own hp -749 vs opp hp -525, you lose, hp_diff: -224, avg_loss: 3.2446, Total reward: -22.710000000000015
round119 result: own hp -737 vs opp hp -573, you lose, hp_diff: -164, avg_loss: 2.5802, Total reward: -19.309999999999995
round120 result: own hp -386 vs opp hp -345, you lose, hp_diff: -41, avg_loss: 0.8070, Total reward: -2.030000000000001
round121 result: own hp -770 vs opp hp -395, you lose, hp_diff: -375, avg_loss: 3.1151, Total reward: -35.58000000000002
round122 result: own hp -578 vs opp hp -511, you lose, hp_diff: -67, avg_loss: 1.5346, Total reward: -8.649999999999986
round123 result: own hp -740 vs opp hp -455, you lose, hp_diff: -285, avg_loss: 2.4995, Total reward: -27.500000000000014
round124 result: own hp -606 vs opp hp -439, you lose, hp_diff: -167, avg_loss: 1.6099, Total reward: -19.529999999999994
round125 result: own hp -762 vs opp hp -497, you lose, hp_diff: -265, avg_loss: 2.2025, Total reward: -25.630000000000017
round126 result: own hp -381 vs opp hp -531, you win, hp_diff: 150, avg_loss: 0.6958, Total reward: 12.260000000000005
round127 result: own hp -547 vs opp hp -472, you lose, hp_diff: -75, avg_loss: 1.6890, Total reward: -6.600000000000005
round128 result: own hp -527 vs opp hp -322, you lose, hp_diff: -205, avg_loss: 1.1940, Total reward: -22.849999999999998
round129 result: own hp -784 vs opp hp -338, you lose, hp_diff: -446, avg_loss: 2.0414, Total reward: -47.089999999999975
round130 result: own hp -737 vs opp hp -537, you lose, hp_diff: -200, avg_loss: 2.9007, Total reward: -22.840000000000003
round131 result: own hp -602 vs opp hp -480, you lose, hp_diff: -122, avg_loss: 1.5574, Total reward: -14.82
