round69 result: own hp -457 vs opp hp -330, you lose, hp_diff: -127, Total reward: -12.759999999999998
round70 result: own hp -612 vs opp hp -449, you lose, hp_diff: -163, Total reward: -19.230000000000018
round71 result: own hp -580 vs opp hp -375, you lose, hp_diff: -205, Total reward: -20.85
round72 result: own hp -464 vs opp hp -275, you lose, hp_diff: -189, Total reward: -17.71
round73 result: own hp -478 vs opp hp -297, you lose, hp_diff: -181, Total reward: -19.01000000000001
round74 result: own hp -535 vs opp hp -235, you lose, hp_diff: -300, Total reward: -30.03000000000003
round75 result: own hp -396 vs opp hp -350, you lose, hp_diff: -46, Total reward: -3.62999999999999
round76 result: own hp -471 vs opp hp -228, you lose, hp_diff: -243, Total reward: -24.190000000000044
round77 result: own hp -363 vs opp hp -246, you lose, hp_diff: -117, Total reward: -11.619999999999953
round78 result: own hp -483 vs opp hp -213, you lose, hp_diff: -270, Total reward: -26.459999999999987
round79 result: own hp -489 vs opp hp -93, you lose, hp_diff: -396, Total reward: -39.069999999999965
round80 result: own hp -581 vs opp hp -370, you lose, hp_diff: -211, Total reward: -20.710000000000008
round81 result: own hp -781 vs opp hp -384, you lose, hp_diff: -397, Total reward: -40.16999999999993
round82 result: own hp -528 vs opp hp -298, you lose, hp_diff: -230, Total reward: -23.69000000000004
round83 result: own hp -437 vs opp hp -210, you lose, hp_diff: -227, Total reward: -22.87000000000001
round84 result: own hp -348 vs opp hp -325, you lose, hp_diff: -23, Total reward: -2.799999999999999
round85 result: own hp -462 vs opp hp -331, you lose, hp_diff: -131, Total reward: -12.010000000000007
round86 result: own hp -593 vs opp hp -240, you lose, hp_diff: -353, Total reward: -35.06000000000005
round87 result: own hp -379 vs opp hp -248, you lose, hp_diff: -131, Total reward: -13.750000000000012
round88 result: own hp -435 vs opp hp -183, you lose, hp_diff: -252, Total reward: -26.730000000000015
round89 result: own hp -792 vs opp hp -268, you lose, hp_diff: -524, Total reward: -53.68999999999995
round90 result: own hp -484 vs opp hp -323, you lose, hp_diff: -161, Total reward: -15.990000000000004
round91 result: own hp -567 vs opp hp -418, you lose, hp_diff: -149, Total reward: -15.339999999999973
round92 result: own hp -276 vs opp hp -185, you lose, hp_diff: -91, Total reward: -8.89
round93 result: own hp -572 vs opp hp -268, you lose, hp_diff: -304, Total reward: -28.519999999999985
round94 result: own hp -438 vs opp hp -204, you lose, hp_diff: -234, Total reward: -23.319999999999975
round95 result: own hp -657 vs opp hp -310, you lose, hp_diff: -347, Total reward: -34.81999999999998
round96 result: own hp -603 vs opp hp -140, you lose, hp_diff: -463, Total reward: -46.28999999999996
round97 result: own hp -330 vs opp hp -128, you lose, hp_diff: -202, Total reward: -18.339999999999986
round98 result: own hp -464 vs opp hp -318, you lose, hp_diff: -146, Total reward: -14.540000000000012
round99 result: own hp -504 vs opp hp -317, you lose, hp_diff: -187, Total reward: -17.710000000000015
round100 result: own hp -489 vs opp hp -289, you lose, hp_diff: -200, Total reward: -20.669999999999977
round101 result: own hp -608 vs opp hp -400, you lose, hp_diff: -208, Total reward: -20.590000000000042
round102 result: own hp -683 vs opp hp -313, you lose, hp_diff: -370, Total reward: -37.27000000000002
round103 result: own hp -565 vs opp hp -428, you lose, hp_diff: -137, Total reward: -14.249999999999993
round104 result: own hp -579 vs opp hp -303, you lose, hp_diff: -276, Total reward: -30.28
round105 result: own hp -592 vs opp hp -247, you lose, hp_diff: -345, Total reward: -37.149999999999984
round106 result: own hp -410 vs opp hp -433, you win, hp_diff: 23, Total reward: 3.100000000000003
round107 result: own hp -321 vs opp hp -317, you lose, hp_diff: -4, Total reward: -0.3900000000000061
round108 result: own hp -442 vs opp hp -376, you lose, hp_diff: -66, Total reward: -6.989999999999996
round109 result: own hp -396 vs opp hp -336, you lose, hp_diff: -60, Total reward: -8.589999999999995
round110 result: own hp -579 vs opp hp -379, you lose, hp_diff: -200, Total reward: -22.549999999999983
round111 result: own hp -590 vs opp hp -384, you lose, hp_diff: -206, Total reward: -21.830000000000002
round112 result: own hp -343 vs opp hp -271, you lose, hp_diff: -72, Total reward: -7.359999999999989
round113 result: own hp -695 vs opp hp -445, you lose, hp_diff: -250, Total reward: -25.390000000000043
round114 result: own hp -531 vs opp hp -310, you lose, hp_diff: -221, Total reward: -23.03000000000001
round115 result: own hp -681 vs opp hp -270, you lose, hp_diff: -411, Total reward: -42.44999999999997
round116 result: own hp -523 vs opp hp -366, you lose, hp_diff: -157, Total reward: -17.359999999999992
round117 result: own hp -513 vs opp hp -281, you lose, hp_diff: -232, Total reward: -23.640000000000025
round118 result: own hp -768 vs opp hp -491, you lose, hp_diff: -277, Total reward: -27.839999999999996
round119 result: own hp -619 vs opp hp -318, you lose, hp_diff: -301, Total reward: -30.520000000000035
round120 result: own hp -445 vs opp hp -145, you lose, hp_diff: -300, Total reward: -29.01000000000001
round121 result: own hp -637 vs opp hp -205, you lose, hp_diff: -432, Total reward: -43.2
round122 result: own hp -672 vs opp hp -290, you lose, hp_diff: -382, Total reward: -38.039999999999914
round123 result: own hp -662 vs opp hp -358, you lose, hp_diff: -304, Total reward: -30.52000000000001
round124 result: own hp -720 vs opp hp -322, you lose, hp_diff: -398, Total reward: -39.72000000000001
round125 result: own hp -516 vs opp hp -298, you lose, hp_diff: -218, Total reward: -22.50000000000002
round126 result: own hp -473 vs opp hp -304, you lose, hp_diff: -169, Total reward: -16.750000000000004
round127 result: own hp -352 vs opp hp -260, you lose, hp_diff: -92, Total reward: -9.310000000000002
round128 result: own hp -522 vs opp hp -310, you lose, hp_diff: -212, Total reward: -21.430000000000003
round129 result: own hp -450 vs opp hp -218, you lose, hp_diff: -232, Total reward: -21.63999999999998
round130 result: own hp -310 vs opp hp -305, you lose, hp_diff: -5, Total reward: 0.17000000000000326
round131 result: own hp -464 vs opp hp -423, you lose, hp_diff: -41, Total reward: -6.820000000000003
round132 result: own hp -418 vs opp hp -158, you lose, hp_diff: -260, Total reward: -23.46999999999999
round133 result: own hp -482 vs opp hp -219, you lose, hp_diff: -263, Total reward: -14.71999999999999
round134 result: own hp -548 vs opp hp -192, you lose, hp_diff: -356, Total reward: -34.77999999999999
round135 result: own hp -747 vs opp hp -515, you lose, hp_diff: -232, Total reward: -24.52000000000005
round136 result: own hp -660 vs opp hp -267, you lose, hp_diff: -393, Total reward: -39.77999999999999
round137 result: own hp -309 vs opp hp -325, you win, hp_diff: 16, Total reward: 1.8599999999999997
round138 result: own hp -478 vs opp hp -393, you lose, hp_diff: -85, Total reward: -8.510000000000003
round139 result: own hp -385 vs opp hp -178, you lose, hp_diff: -207, Total reward: -20.73999999999998
round140 result: own hp -592 vs opp hp -273, you lose, hp_diff: -319, Total reward: -31.659999999999986
round141 result: own hp -459 vs opp hp -254, you lose, hp_diff: -205, Total reward: -20.279999999999987
round142 result: own hp -673 vs opp hp -313, you lose, hp_diff: -360, Total reward: -36.08000000000001
round143 result: own hp -317 vs opp hp -373, you win, hp_diff: 56, Total reward: 4.960000000000005
round144 result: own hp -702 vs opp hp -293, you lose, hp_diff: -409, Total reward: -37.12
round145 result: own hp -437 vs opp hp -348, you lose, hp_diff: -89, Total reward: -9.069999999999999
round146 result: own hp -556 vs opp hp -341, you lose, hp_diff: -215, Total reward: -21.849999999999994
round147 result: own hp -496 vs opp hp -388, you lose, hp_diff: -108, Total reward: -9.539999999999997
round148 result: own hp -596 vs opp hp -273, you lose, hp_diff: -323, Total reward: -33.34
round149 result: own hp -658 vs opp hp -389, you lose, hp_diff: -269, Total reward: -27.820000000000007
round150 result: own hp -504 vs opp hp -325, you lose, hp_diff: -179, Total reward: -19.309999999999988
round151 result: own hp -454 vs opp hp -388, you lose, hp_diff: -66, Total reward: -5.570000000000002
round152 result: own hp -527 vs opp hp -343, you lose, hp_diff: -184, Total reward: -20.290000000000003
round153 result: own hp -623 vs opp hp -360, you lose, hp_diff: -263, Total reward: -24.300000000000008
round154 result: own hp -276 vs opp hp -259, you lose, hp_diff: -17, Total reward: -1.5200000000000073
round155 result: own hp -596 vs opp hp -385, you lose, hp_diff: -211, Total reward: -20.97000000000005
round156 result: own hp -507 vs opp hp -423, you lose, hp_diff: -84, Total reward: -7.809999999999992
round157 result: own hp -569 vs opp hp -221, you lose, hp_diff: -348, Total reward: -33.829999999999984
round158 result: own hp -646 vs opp hp -331, you lose, hp_diff: -315, Total reward: -32.14
round159 result: own hp -588 vs opp hp -251, you lose, hp_diff: -337, Total reward: -33.64
round160 result: own hp -455 vs opp hp -364, you lose, hp_diff: -91, Total reward: -11.749999999999996
round161 result: own hp -482 vs opp hp -298, you lose, hp_diff: -184, Total reward: -21.3
round162 result: own hp -339 vs opp hp -328, you lose, hp_diff: -11, Total reward: -0.8199999999999992
round163 result: own hp -325 vs opp hp -278, you lose, hp_diff: -47, Total reward: -4.440000000000007
round164 result: own hp -470 vs opp hp -194, you lose, hp_diff: -276, Total reward: -24.680000000000003
round165 result: own hp -487 vs opp hp -382, you lose, hp_diff: -105, Total reward: -10.799999999999992
round166 result: own hp -582 vs opp hp -451, you lose, hp_diff: -131, Total reward: -15.949999999999996
round167 result: own hp -501 vs opp hp -343, you lose, hp_diff: -158, Total reward: -15.989999999999998
round168 result: own hp -655 vs opp hp -230, you lose, hp_diff: -425, Total reward: -41.58999999999995
round169 result: own hp -671 vs opp hp -425, you lose, hp_diff: -246, Total reward: -26.02
round170 result: own hp -599 vs opp hp -399, you lose, hp_diff: -200, Total reward: -17.42999999999999
round171 result: own hp -670 vs opp hp -351, you lose, hp_diff: -319, Total reward: -34.48000000000004
round172 result: own hp -524 vs opp hp -329, you lose, hp_diff: -195, Total reward: -19.399999999999988
round173 result: own hp -600 vs opp hp -330, you lose, hp_diff: -270, Total reward: -26.410000000000025
round174 result: own hp -334 vs opp hp -258, you lose, hp_diff: -76, Total reward: -5.939999999999996
round175 result: own hp -342 vs opp hp -385, you win, hp_diff: 43, Total reward: 4.449999999999991
round176 result: own hp -493 vs opp hp -210, you lose, hp_diff: -283, Total reward: -28.31999999999999
round177 result: own hp -416 vs opp hp -225, you lose, hp_diff: -191, Total reward: -19.909999999999968
round178 result: own hp -243 vs opp hp -259, you win, hp_diff: 16, Total reward: 2.029999999999988
round179 result: own hp -283 vs opp hp -135, you lose, hp_diff: -148, Total reward: -14.829999999999995
round180 result: own hp -365 vs opp hp -125, you lose, hp_diff: -240, Total reward: -24.18999999999998
round181 result: own hp -416 vs opp hp -340, you lose, hp_diff: -76, Total reward: -7.760000000000001
round182 result: own hp -468 vs opp hp -365, you lose, hp_diff: -103, Total reward: -10.570000000000004
round183 result: own hp -528 vs opp hp -277, you lose, hp_diff: -251, Total reward: -23.99000000000002
round184 result: own hp -375 vs opp hp -190, you lose, hp_diff: -185, Total reward: -16.939999999999987
round185 result: own hp -318 vs opp hp -411, you win, hp_diff: 93, Total reward: 8.54000000000001
round186 result: own hp -580 vs opp hp -370, you lose, hp_diff: -210, Total reward: -18.84
round187 result: own hp -805 vs opp hp -345, you lose, hp_diff: -460, Total reward: -48.58000000000003
round188 result: own hp -820 vs opp hp -522, you lose, hp_diff: -298, Total reward: -28.000000000000014
round189 result: own hp -604 vs opp hp -310, you lose, hp_diff: -294, Total reward: -31.83000000000001
round190 result: own hp -738 vs opp hp -295, you lose, hp_diff: -443, Total reward: -46.84000000000001
round191 result: own hp -642 vs opp hp -275, you lose, hp_diff: -367, Total reward: -36.54000000000002
round192 result: own hp -573 vs opp hp -370, you lose, hp_diff: -203, Total reward: -20.51000000000002
round193 result: own hp -710 vs opp hp -360, you lose, hp_diff: -350, Total reward: -34.74000000000001
round194 result: own hp -346 vs opp hp -283, you lose, hp_diff: -63, Total reward: -6.299999999999998
round195 result: own hp -581 vs opp hp -358, you lose, hp_diff: -223, Total reward: -20.100000000000005
round196 result: own hp -575 vs opp hp -295, you lose, hp_diff: -280, Total reward: -27.92999999999996
round197 result: own hp -493 vs opp hp -178, you lose, hp_diff: -315, Total reward: -31.120000000000005
round198 result: own hp -292 vs opp hp -331, you win, hp_diff: 39, Total reward: 4.700000000000012
round199 result: own hp -510 vs opp hp -265, you lose, hp_diff: -245, Total reward: -24.019999999999964
round200 result: own hp -469 vs opp hp -206, you lose, hp_diff: -263, Total reward: -25.98999999999994
round201 result: own hp -425 vs opp hp -415, you lose, hp_diff: -10, Total reward: -1.3799999999999975
round202 result: own hp -748 vs opp hp -369, you lose, hp_diff: -379, Total reward: -38.29000000000001
round203 result: own hp -637 vs opp hp -406, you lose, hp_diff: -231, Total reward: -23.040000000000003
round204 result: own hp -324 vs opp hp -207, you lose, hp_diff: -117, Total reward: -11.110000000000014
round205 result: own hp -814 vs opp hp -316, you lose, hp_diff: -498, Total reward: -48.639999999999944
round206 result: own hp -882 vs opp hp -248, you lose, hp_diff: -634, Total reward: -61.14000000000006
round207 result: own hp -535 vs opp hp -229, you lose, hp_diff: -306, Total reward: -30.509999999999994
round208 result: own hp -756 vs opp hp -379, you lose, hp_diff: -377, Total reward: -35.44000000000002
round209 result: own hp -574 vs opp hp -174, you lose, hp_diff: -400, Total reward: -40.09000000000003
round210 result: own hp -377 vs opp hp -260, you lose, hp_diff: -117, Total reward: -11.899999999999995
round211 result: own hp -507 vs opp hp -358, you lose, hp_diff: -149, Total reward: -14.609999999999982
round212 result: own hp -507 vs opp hp -376, you lose, hp_diff: -131, Total reward: -12.070000000000002
round213 result: own hp -576 vs opp hp -268, you lose, hp_diff: -308, Total reward: -33.44999999999998
round214 result: own hp -533 vs opp hp -325, you lose, hp_diff: -208, Total reward: -21.240000000000077
round215 result: own hp -694 vs opp hp -244, you lose, hp_diff: -450, Total reward: -44.140000000000036
round216 result: own hp -454 vs opp hp -487, you win, hp_diff: 33, Total reward: 3.599999999999997
round217 result: own hp -477 vs opp hp -132, you lose, hp_diff: -345, Total reward: -34.790000000000006
round218 result: own hp -444 vs opp hp -408, you lose, hp_diff: -36, Total reward: -4.149999999999995
round219 result: own hp -277 vs opp hp -85, you lose, hp_diff: -192, Total reward: -19.060000000000002
round220 result: own hp -418 vs opp hp -295, you lose, hp_diff: -123, Total reward: -13.62999999999999
round221 result: own hp -433 vs opp hp -208, you lose, hp_diff: -225, Total reward: -20.740000000000006
round222 result: own hp -374 vs opp hp -178, you lose, hp_diff: -196, Total reward: -20.040000000000013
round223 result: own hp -625 vs opp hp -320, you lose, hp_diff: -305, Total reward: -30.289999999999996
round224 result: own hp -521 vs opp hp -345, you lose, hp_diff: -176, Total reward: -17.799999999999983
round225 result: own hp -601 vs opp hp -235, you lose, hp_diff: -366, Total reward: -37.18000000000007
round226 result: own hp -720 vs opp hp -275, you lose, hp_diff: -445, Total reward: -44.59000000000001
round227 result: own hp -280 vs opp hp -215, you lose, hp_diff: -65, Total reward: -7.059999999999989
round228 result: own hp -613 vs opp hp -369, you lose, hp_diff: -244, Total reward: -24.360000000000014
round229 result: own hp -520 vs opp hp -335, you lose, hp_diff: -185, Total reward: -17.920000000000005
round230 result: own hp -534 vs opp hp -380, you lose, hp_diff: -154, Total reward: -15.929999999999994
round231 result: own hp -667 vs opp hp -325, you lose, hp_diff: -342, Total reward: -34.42
round232 result: own hp -515 vs opp hp -353, you lose, hp_diff: -162, Total reward: -16.000000000000014
round233 result: own hp -307 vs opp hp -233, you lose, hp_diff: -74, Total reward: -6.920000000000006
round234 result: own hp -542 vs opp hp -250, you lose, hp_diff: -292, Total reward: -31.779999999999998
round235 result: own hp -447 vs opp hp -220, you lose, hp_diff: -227, Total reward: -22.52999999999998
round236 result: own hp -504 vs opp hp -265, you lose, hp_diff: -239, Total reward: -24.360000000000074
round237 result: own hp -343 vs opp hp -168, you lose, hp_diff: -175, Total reward: -17.190000000000033
round238 result: own hp -494 vs opp hp -368, you lose, hp_diff: -126, Total reward: -13.209999999999988
round239 result: own hp -593 vs opp hp -240, you lose, hp_diff: -353, Total reward: -36.08999999999996
round240 result: own hp -473 vs opp hp -325, you lose, hp_diff: -148, Total reward: -15.350000000000017
round241 result: own hp -359 vs opp hp -359, you lose, hp_diff: 0, Total reward: -0.2800000000000016
round242 result: own hp -606 vs opp hp -320, you lose, hp_diff: -286, Total reward: -29.61000000000004
round243 result: own hp -398 vs opp hp -192, you lose, hp_diff: -206, Total reward: -21.36000000000002
round244 result: own hp -442 vs opp hp -324, you lose, hp_diff: -118, Total reward: -0.4499999999999935
round245 result: own hp -462 vs opp hp -237, you lose, hp_diff: -225, Total reward: -25.159999999999997
round246 result: own hp -391 vs opp hp -220, you lose, hp_diff: -171, Total reward: -16.190000000000023
round247 result: own hp -665 vs opp hp -357, you lose, hp_diff: -308, Total reward: -30.980000000000004
round248 result: own hp -579 vs opp hp -360, you lose, hp_diff: -219, Total reward: -9.819999999999993
round249 result: own hp -728 vs opp hp -335, you lose, hp_diff: -393, Total reward: -41.970000000000006
round250 result: own hp -424 vs opp hp -315, you lose, hp_diff: -109, Total reward: -8.719999999999999
